fqdn,category
vikdasow-t22.cloud,malicious
vikdasow-t24.cloud,malicious
vikdasow-t26.cloud,malicious
vikdasow-t28.cloud,malicious
vikdasow-t29.cloud,malicious
vikdasow-t30.cloud,malicious
vikdasow-t8.cloud,malicious
vikdasow-t9.cloud,malicious
vilkenmat.se,benign
villapaket.se,benign
vtlsverige.se,benign
wape.se,benign
waxy.cloud,benign
webmob.se,benign
wiljabegravningsbyra.se,benign
wise-materials.se,benign
xeljanzs.cloud,malicious
zxn999.cloud,malicious
